PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	BONA, C; HIERNAUX, J								IMMUNE-RESPONSE - IDIOTYPE ANTI-IDIOTYPE NETWORK								CRC CRITICAL REVIEWS IN IMMUNOLOGY				2	1			33	81					1981	1981																		0197-3355			WOS:A1981LN32400002		
J	HIERNAUX, J								SOME REMARKS ON STABILITY OF IDIOTYPIC NETWORK								IMMUNOCHEMISTRY				14	11-1			733	739		10.1016/0019-2791(77)90343-3			1977	1977																					WOS:A1977EE80200003	598856	
J	HOFFMANN, GW								THEORY OF REGULATION AND SELF-NONSELF DISCRIMINATION IN AN IMMUNE NETWORK								EUROPEAN JOURNAL OF IMMUNOLOGY				5	9			638	647		10.1002/eji.1830050912			1975	1975																		0014-2980	1521-4141		WOS:A1975AV35600011	11993326	
J	JERNE, NK								TOWARDS A NETWORK THEORY OF IMMUNE SYSTEM								ANNALES D IMMUNOLOGIE				C125	1-2			373	389					1974	1974																		0300-4910			WOS:A1974R968600041	4142565	
J	JERNE, NK								IMMUNE SYSTEM								SCIENTIFIC AMERICAN				229	1			52	60					1973	1973																		0036-8733			WOS:A1973P970900004	4723145	
J	PERELSON, AS; OSTER, GF								THEORETICAL-STUDIES OF CLONAL SELECTION - MINIMAL ANTIBODY REPERTOIRE SIZE AND RELIABILITY OF SELF-NON-SELF DISCRIMINATION								JOURNAL OF THEORETICAL BIOLOGY				81	4			645	670		10.1016/0022-5193(79)90275-3			1979	1979																		0022-5193			WOS:A1979JA49300003	94141	
J	RICHTER, PH								NETWORK THEORY OF IMMUNE SYSTEM								EUROPEAN JOURNAL OF IMMUNOLOGY				5	5			350	354		10.1002/eji.1830050511			1975	1975																		0014-2980			WOS:A1975AF26500010	1234059	
J	ROSSLER, OE								SYSTEM THEORETIC MODEL OF BIOGENESIS								ZEITSCHRIFT FUR NATURFORSCHUNG PART B-CHEMIE BIOCHEMIE BIOPHYSIK BIOLOGIE UND VERWANDTEN GEBIETE				B 26	8			741	&					1971	1971																					WOS:A1971K443800001	4399275	
J	SEGHERS, M								QUALITATIVE STUDY OF AN IDIOTYPIC CYCLIC NETWORK								JOURNAL OF THEORETICAL BIOLOGY				80	4			553	576		10.1016/0022-5193(79)90093-6			1979	1979																		0022-5193			WOS:A1979HS24700007	542007	
J	SISKIND, GW; HAYAMA, T; SHEPHERD, GM; SCHRATER, AF; WEKSLER, ME; THORBECKE, J; GOIDL, EA								AUTOANTI-IDIOTYPE ANTIBODY-PRODUCTION FOLLOWING ANTIGEN INJECTION AND IMMUNE REGULATION								ANNALS OF THE NEW YORK ACADEMY OF SCIENCES				392	SEP			345	349		10.1111/j.1749-6632.1982.tb36119.x			1982	1982																		0077-8923			WOS:A1982PJ28100028	6753689	
J	TONEGAWA, S								SOMATIC GENERATION OF ANTIBODY DIVERSITY								NATURE				302	5909			575	581		10.1038/302575a0			1983	1983																		0028-0836			WOS:A1983QK80600026	6300689	
