PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	AMARI, SI				Amari, Shun-ichi/A-5901-2016				NEURAL THEORY OF ASSOCIATION AND CONCEPT-FORMATION								BIOLOGICAL CYBERNETICS				26	3			175	185		10.1007/BF00365229			1977	1977																		0340-1200	1432-0770		WOS:A1977DG96000007	901864	
J	BARTO, AG; SUTTON, RS; ANDERSON, CW								NEURONLIKE ADAPTIVE ELEMENTS THAT CAN SOLVE DIFFICULT LEARNING CONTROL-PROBLEMS								IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS				13	5			834	846					1983	1983																		0018-9472			WOS:A1983SC59500020		
J	BRAAE, M; RUTHERFORD, DA								FUZZY RELATIONS IN A CONTROL SETTING								KYBERNETES				7	3			185	188		10.1108/eb005482			1978	1978																		0368-492X			WOS:A1978FL45500002		
J	FUKUSHIMA, K; MIYAKE, S; ITO, T								NEOCOGNITRON - A NEURAL NETWORK MODEL FOR A MECHANISM OF VISUAL-PATTERN RECOGNITION								IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS				13	5			826	834					1983	1983																		0018-9472			WOS:A1983SC59500019		
J	GALLANT, SI								CONNECTIONIST EXPERT SYSTEMS								COMMUNICATIONS OF THE ACM				31	2			152	169		10.1145/42372.42377			FEB 1988	1988																		0001-0782			WOS:A1988M209000007		
J	GROSSBERG, S								ADAPTIVE PATTERN-CLASSIFICATION AND UNIVERSAL RECODING .1. PARALLEL DEVELOPMENT AND CODING OF NEURAL FEATURE DETECTORS								BIOLOGICAL CYBERNETICS				23	3			121	134		10.1007/BF00344744			1976	1976																		0340-1200	1432-0770		WOS:A1976CA16900001	974165	
J	GROSSBERG, S								CORTICAL DYNAMICS OF 3-DIMENSIONAL FORM, COLOR, AND BRIGHTNESS PERCEPTION .1. MONOCULAR THEORY								PERCEPTION & PSYCHOPHYSICS				41	2			87	116		10.3758/BF03204874			FEB 1987	1987																		0031-5117			WOS:A1987F988900001	3822755	
J	LEE, CC								FUZZY-LOGIC IN CONTROL-SYSTEMS - FUZZY-LOGIC CONTROLLER .1.								IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS				20	2			404	418		10.1109/21.52551			MAR-APR 1990	1990																		0018-9472			WOS:A1990DG60600012		
J	RUMELHART, DE; ZIPSER, D								FEATURE DISCOVERY BY COMPETITIVE LEARNING								COGNITIVE SCIENCE				9	1			75	112		10.1016/S0364-0213(85)80010-0			1985	1985																		0364-0213			WOS:A1985AFZ2900005		
J	SELF, K								DESIGNING WITH FUZZY-LOGIC								IEEE SPECTRUM				27	11			42	&		10.1109/6.62215			NOV 1990	1990																		0018-9235			WOS:A1990EG24500013		
