PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	BERSUKER, IB; DIMOGLO, AS; GORBACHOV, MY; VLAD, PF								ORIGIN OF MUSK FRAGRANCE ACTIVITY - THE ELECTRON-TOPOLOGIC APPROACH								NEW JOURNAL OF CHEMISTRY				15	5			307	320					MAY 1991	1991																		1144-0546			WOS:A1991GB96300001		
J	CHANG, G; GUIDA, WC; STILL, WC								AN INTERNAL COORDINATE MONTE-CARLO METHOD FOR SEARCHING CONFORMATIONAL SPACE								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				111	12			4379	4386		10.1021/ja00194a035			JUN 7 1989	1989																		0002-7863			WOS:A1989AB03100035		
J	CONNOLLY, ML								SOLVENT-ACCESSIBLE SURFACES OF PROTEINS AND NUCLEIC-ACIDS								SCIENCE				221	4612			709	713		10.1126/science.6879170			1983	1983																		0036-8075			WOS:A1983RC16200007	6879170	
J	CRAMER, RD; PATTERSON, DE; BUNCE, JD								COMPARATIVE MOLECULAR-FIELD ANALYSIS (COMFA) .1. EFFECT OF SHAPE ON BINDING OF STEROIDS TO CARRIER PROTEINS								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				110	18			5959	5967		10.1021/ja00226a005			AUG 31 1988	1988																		0002-7863			WOS:A1988P981800005	22148765	
J	DIETTERICH, TG; MICHALSKI, RS								INDUCTIVE LEARNING OF STRUCTURAL DESCRIPTIONS - EVALUATION CRITERIA AND COMPARATIVE REVIEW OF SELECTED METHODS								ARTIFICIAL INTELLIGENCE				16	3			257	294		10.1016/0004-3702(81)90002-3			1981	1981																		0004-3702			WOS:A1981MD90500002		
J	ENGLE, ML; BURKS, C								ARTIFICIALLY GENERATED DATA SETS FOR TESTING DNA-SEQUENCE ASSEMBLY ALGORITHMS								GENOMICS				16	1			286	288		10.1006/geno.1993.1180			APR 1993	1993																		0888-7543			WOS:A1993KW20500048	8486376	
J	FEHR, C; GALINDO, J; HAUBRICHS, R; PERRET, R								NEW AROMATIC MUSK ODORANTS - DESIGN AND SYNTHESIS								HELVETICA CHIMICA ACTA				72	7			1537	1553		10.1002/hlca.19890720716			1989	1989																		0018-019X			WOS:A1989AY92400015		
J	FRIEDMAN, JH; STUETZLE, W								PROJECTION PURSUIT REGRESSION								JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION				76	376			817	823		10.2307/2287576			1981	1981																		0162-1459			WOS:A1981MT74200012		
J	GOOD, AC; SO, SS; RICHARDS, WG								STRUCTURE-ACTIVITY-RELATIONSHIPS FROM MOLECULAR SIMILARITY-MATRICES								JOURNAL OF MEDICINAL CHEMISTRY				36	4			433	438		10.1021/jm00056a002			FEB 19 1993	1993																		0022-2623			WOS:A1993KN14900002	8474098	
J	HAM, CL; JURS, PC								STRUCTURE-ACTIVITY STUDIES OF MUSK ODORANTS USING PATTERN-RECOGNITION - MONOCYCLIC NITROBENZENES								CHEMICAL SENSES				10	4			491	505		10.1093/chemse/10.4.491			1985	1985																		0379-864X			WOS:A1985AUE7200003		
J	HANSCH, C; FUJITA, T								RHO-SIGMA-PI ANALYSIS . METHOD FOR CORRELATION OF BIOLOGICAL ACTIVITY + CHEMICAL STRUCTURE								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				86	8			1616	&		10.1021/ja01062a035			1964	1964																		0002-7863			WOS:A19643141B00019		
J	HAUSSLER, D								QUANTIFYING INDUCTIVE BIAS - AI LEARNING ALGORITHMS AND VALIANTS LEARNING FRAMEWORK								ARTIFICIAL INTELLIGENCE				36	2			177	221		10.1016/0004-3702(88)90002-1			SEP 1988	1988																		0004-3702			WOS:A1988P824900002		
J	JAIN, AN; DIETTERICH, TG; LATHROP, RH; CHAPMAN, D; CRITCHLOW, RE; BAUER, BE; WEBSTER, TA; LOZANOPEREZ, T				Lozano-Perez, Tomas/J-9374-2012	Lozano-Perez, Tomas/0000-0002-8657-2450			COMPASS - A SHAPE-BASED MACHINE LEARNING TOOL FOR DRUG DESIGN								JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN				8	6			635	652		10.1007/BF00124012			DEC 1994	1994																		0920-654X			WOS:A1994QA06400001	7738601	
J	JAIN, AN; HARRIS, NL; PARK, JY								QUANTITATIVE BINDING-SITE MODEL GENERATION - COMPASS APPLIED TO MULTIPLE CHEMOTYPES TARGETING THE 5-HT1A RECEPTOR								JOURNAL OF MEDICINAL CHEMISTRY				38	8			1295	1308		10.1021/jm00008a008			APR 14 1995	1995																		0022-2623			WOS:A1995QU38000008	7731016	
J	JAIN, AN; KOILE, K; CHAPMAN, D								COMPASS - PREDICTING BIOLOGICAL-ACTIVITIES FROM MOLECULAR-SURFACE PROPERTIES - PERFORMANCE COMPARISONS ON A STEROID BENCHMARK								JOURNAL OF MEDICINAL CHEMISTRY				37	15			2315	2327		10.1021/jm00041a010			JUL 22 1994	1994																		0022-2623			WOS:A1994NZ41100010	8057280	
J	KOEHLER, MG; ROWBERGSCHAEFER, K; HOPFINGER, AJ								A MOLECULAR SHAPE-ANALYSIS AND QUANTITATIVE STRUCTURE ACTIVITY RELATIONSHIP INVESTIGATION OF SOME TRIAZINE-ANTIFOLATE INHIBITORS OF LEISHMANIA DIHYDROFOLATE-REDUCTASE								ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS				266	1			152	161		10.1016/0003-9861(88)90245-7			OCT 1988	1988																		0003-9861			WOS:A1988Q502300015	3178219	
J	KUNTZ, ID								STRUCTURE-BASED STRATEGIES FOR DRUG DESIGN AND DISCOVERY								SCIENCE				257	5073			1078	1082		10.1126/science.257.5073.1078			AUG 21 1992	1992																		0036-8075			WOS:A1992JJ88400023	1509259	
J	NARVAEZ, JN; LAVINE, BK; JURS, PC								STRUCTURE-ACTIVITY STUDIES OF MUSK ODORANTS USING PATTERN-RECOGNITION - BICYCLO-BENZENOID AND TRICYCLO-BENZENOID								CHEMICAL SENSES				11	1			145	156		10.1093/chemse/11.1.145			1986	1986																		0379-864X			WOS:A1986A213300010		
