PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	DETRANO, R; JANOSI, A; STEINBRUNN, W; PFISTERER, M; SCHMID, JJ; SANDHU, S; GUPPY, KH; LEE, S; FROELICHER, V								INTERNATIONAL APPLICATION OF A NEW PROBABILITY ALGORITHM FOR THE DIAGNOSIS OF CORONARY-ARTERY DISEASE								AMERICAN JOURNAL OF CARDIOLOGY				64	5			304	310		10.1016/0002-9149(89)90524-9			AUG 1 1989	1989																		0002-9149			WOS:A1989AG92200010	2756873	
J	DORFMAN, DD; ALF, E								MAXIMUM-LIKELIHOOD ESTIMATION OF PARAMETERS OF SIGNAL-DETECTION THEORY AND DETERMINATION OF CONFIDENCE INTERVALS - RATING-METHOD DATA								JOURNAL OF MATHEMATICAL PSYCHOLOGY				6	3			487	&		10.1016/0022-2496(69)90019-4			1969	1969																		0022-2496			WOS:A1969E332800010		
J	EFRON, B								1977 RIETZ LECTURE - BOOTSTRAP METHODS - ANOTHER LOOK AT THE JACKKNIFE								ANNALS OF STATISTICS				7	1			1	26		10.1214/aos/1176344552			1979	1979																		0090-5364			WOS:A1979GL00300001		
J	GENNARI, JH; LANGLEY, P; FISHER, D					Gennari, John/0000-0001-8254-4957			MODELS OF INCREMENTAL CONCEPT-FORMATION								ARTIFICIAL INTELLIGENCE				40	1-3			11	61		10.1016/0004-3702(89)90046-5			SEP 1989	1989																		0004-3702			WOS:A1989AN72200002		
J	HANLEY, JA; MCNEIL, BJ								A METHOD OF COMPARING THE AREAS UNDER RECEIVER OPERATING CHARACTERISTIC CURVES DERIVED FROM THE SAME CASES								RADIOLOGY				148	3			839	843					1983	1983																		0033-8419			WOS:A1983RD86600044	6878708	
J	HANLEY, JA; MCNEIL, BJ								THE MEANING AND USE OF THE AREA UNDER A RECEIVER OPERATING CHARACTERISTIC (ROC) CURVE								RADIOLOGY				143	1			29	36					1982	1982																		0033-8419			WOS:A1982NG95400006	7063747	
J	Lovell, BC; Bradley, AP				Bradley, Andrew/C-5685-2009	Bradley, Andrew/0000-0003-0109-6844			The multiscale classifier								IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE				18	2			124	137		10.1109/34.481538			FEB 1996	1996																		0162-8828			WOS:A1996TV66900004		
J	PICINBONO, B								ON DEFLECTION AS A PERFORMANCE CRITERION IN DETECTION								IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS				31	3			1072	1081		10.1109/7.395235			JUL 1995	1995																		0018-9251			WOS:A1995RJ72800017		
J	RAUBERTAS, RF; RODEWALD, LE; HUMISTON, SG; SZILAGYI, PG								ROC CURVES FOR CLASSIFICATION TREES								MEDICAL DECISION MAKING				14	2			169	174		10.1177/0272989X9401400209			APR-JUN 1994	1994																		0272-989X			WOS:A1994NG12400009	8028469	
J	RAY, MJ; HAWSON, GAT; JUST, SJE; MCLACHLAN, G; OBRIEN, M				Hawson, Geoffrey/C-6468-2011; McLachlan, Geoffrey/A-1491-2008	McLachlan, Geoffrey/0000-0002-5921-3145			RELATIONSHIP OF PLATELET-AGGREGATION TO BLEEDING AFTER CARDIOPULMONARY BYPASS								ANNALS OF THORACIC SURGERY				57	4			981	986					APR 1994	1994																		0003-4975			WOS:A1994NF98200040	8166553	
J	SCHAFFER, C								OVERFITTING AVOIDANCE AS BIAS								MACHINE LEARNING				10	2			153	178		10.1007/BF00993504			FEB 1993	1993																		0885-6125			WOS:A1993KL35600002		
J	SWETS, JA								ROC ANALYSIS APPLIED TO THE EVALUATION OF MEDICAL IMAGING TECHNIQUES								INVESTIGATIVE RADIOLOGY				14	2			109	121		10.1097/00004424-197903000-00002			1979	1979																		0020-9996			WOS:A1979GV58800002	478799	
