PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Aleotti, J; Caselli, S					Caselli, Stefano/0000-0003-0774-7871			Robust trajectory learning and approximation for robot programming by demonstration								ROBOTICS AND AUTONOMOUS SYSTEMS				54	5			409	413		10.1016/j.robot.2006.01.003			MAY 31 2006	2006						IEEE International Conference on Robotics and Automation (ICRA)IEEE International Conference on Robotics and Automation (ICRA)	APR 18-22, 2005APR 18-22, 2005	IEEEIEEE	Barcelona, SPAINBarcelona, SPAIN									0921-8890			WOS:000237774500008		
J	Alissandrakis, Aris; Nehaniv, Chrystopher L.; Dautenhahn, Kerstin				Alissandrakis, Aris/F-2265-2015	Alissandrakis, Aris/0000-0003-4162-6475			Correspondence mapping induced state and action metrics for robotic imitation								IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B-CYBERNETICS				37	2			299	307		10.1109/TSMCB.2006.886947			APR 2007	2007						International Symposium on ImitationInternational Symposium on Imitation	20052005		Hertforshire, ENGLANDHertforshire, ENGLAND									1083-4419	1941-0492		WOS:000245109300005	17416158	
J	Atkeson, CG; Moore, AW; Schaal, S								Locally weighted learning								ARTIFICIAL INTELLIGENCE REVIEW				11	1-5			11	73		10.1023/A:1006559212014			FEB 1997	1997																		0269-2821	1573-7462		WOS:A1997XE77700002		
J	Billard, A; Mataric, MJ								Learning human arm movements by imitation: Evaluation of a biologically inspired connectionist architecture								ROBOTICS AND AUTONOMOUS SYSTEMS				37	2-3			145	160		10.1016/S0921-8890(01)00155-5			NOV 30 2001	2001																		0921-8890	1872-793X		WOS:000172364900005		
J	Billard, Aude G.; Calinon, Sylvain; Guenter, Florent				Calinon, Sylvain/I-7606-2014				Discriminative and adaptive imitation in uni-manual and bi-manual tasks								ROBOTICS AND AUTONOMOUS SYSTEMS				54	5			370	384		10.1016/j.robot.2006.01.007			MAY 31 2006	2006						IEEE International Conference on Robotics and Automation (ICRA)IEEE International Conference on Robotics and Automation (ICRA)	APR 18-22, 2005APR 18-22, 2005	IEEEIEEE	Barcelona, SPAINBarcelona, SPAIN									0921-8890			WOS:000237774500004		
J	Breazeal, C; Berlin, M; Brooks, A; Gray, J; Thomaz, AL								Using perspective taking to learn from ambiguous demonstrations								ROBOTICS AND AUTONOMOUS SYSTEMS				54	5			385	393		10.1016/j.robot.2006.02.004			MAY 31 2006	2006						IEEE International Conference on Robotics and Automation (ICRA)IEEE International Conference on Robotics and Automation (ICRA)	APR 18-22, 2005APR 18-22, 2005	IEEEIEEE	Barcelona, SPAINBarcelona, SPAIN									0921-8890			WOS:000237774500005		
J	Breazeal, C; Scassellati, B				Galantucci, Bruno/E-5770-2010				Robots that imitate humans								TRENDS IN COGNITIVE SCIENCES				6	11			481	487		10.1016/S1364-6613(02)02016-8			NOV 2002	2002																		1364-6613			WOS:000179170000013		
J	Calinon, Sylvain; Billard, Aude G.				Calinon, Sylvain/I-7606-2014				What is the teacher's role in robot programming by demonstration? Toward benchmarks for improved learning								INTERACTION STUDIES				8	3			441	464					2007	2007																		1572-0373	1572-0381		WOS:000252454100006		
J	Chella, A.; Dindo, H.; Infantino, I.				Infantino, Ignazio/A-1543-2008	INFANTINO, IGNAZIO/0000-0002-0980-7391; Chella, Antonio/0000-0002-8625-708X			A cognitive framework for imitation learning								ROBOTICS AND AUTONOMOUS SYSTEMS				54	5			403	408		10.1016/j.robot.2006.01.008			MAY 31 2006	2006						IEEE International Conference on Robotics and Automation (ICRA)IEEE International Conference on Robotics and Automation (ICRA)	APR 18-22, 2005APR 18-22, 2005	IEEEIEEE	Barcelona, SPAINBarcelona, SPAIN									0921-8890	1872-793X		WOS:000237774500007		
J	Chen, J; Zelinsky, A								Programing by demonstration: Coping with suboptimal teaching actions								INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH				22	5			299	319		10.1177/0278364903022005002			MAY 2003	2003																		0278-3649	1741-3176		WOS:000183368900002		
