PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	BULLOCK, D; GROSSBERG, S								NEURAL DYNAMICS OF PLANNED ARM MOVEMENTS - EMERGENT INVARIANTS AND SPEED ACCURACY PROPERTIES DURING TRAJECTORY FORMATION								PSYCHOLOGICAL REVIEW				95	1			49	90		10.1037/0033-295X.95.1.49			JAN 1988	1988																		0033-295X			WOS:A1988L914700003	3281179	
J	CARPENTER, GA; GROSSBERG, S								ART-2 - SELF-ORGANIZATION OF STABLE CATEGORY RECOGNITION CODES FOR ANALOG INPUT PATTERNS								APPLIED OPTICS				26	23			4919	4930					DEC 1 1987	1987																		1559-128X	2155-3165		WOS:A1987L307700005	20523470	
J	CARPENTER, GA; GROSSBERG, S								THE ART OF ADAPTIVE PATTERN-RECOGNITION BY A SELF-ORGANIZING NEURAL NETWORK								COMPUTER				21	3			77	88		10.1109/2.33			MAR 1988	1988																		0018-9162			WOS:A1988M457000007		
J	CARPENTER, GA; GROSSBERG, S								A MASSIVELY PARALLEL ARCHITECTURE FOR A SELF-ORGANIZING NEURAL PATTERN-RECOGNITION MACHINE								COMPUTER VISION GRAPHICS AND IMAGE PROCESSING				37	1			54	115		10.1016/S0734-189X(87)80014-2			JAN 1987	1987																		0734-189X			WOS:A1987F565800004		
J	CARPENTER, GA; GROSSBERG, S								ART-3 - HIERARCHICAL SEARCH USING CHEMICAL TRANSMITTERS IN SELF-ORGANIZING PATTERN-RECOGNITION ARCHITECTURES								NEURAL NETWORKS				3	2			129	152		10.1016/0893-6080(90)90085-Y			1990	1990																		0893-6080			WOS:A1990CX51800001		
J	CARPENTER, GA								NEURAL NETWORK MODELS FOR PATTERN-RECOGNITION AND ASSOCIATIVE MEMORY								NEURAL NETWORKS				2	4			243	257		10.1016/0893-6080(89)90035-X			1989	1989																		0893-6080			WOS:A1989AH24700001		
J	GROSSBERG, S								ADAPTIVE PATTERN-CLASSIFICATION AND UNIVERSAL RECODING .1. PARALLEL DEVELOPMENT AND CODING OF NEURAL FEATURE DETECTORS								BIOLOGICAL CYBERNETICS				23	3			121	134		10.1007/BF00344744			1976	1976																		0340-1200	1432-0770		WOS:A1976CA16900001	974165	
J	GROSSBERG, S								ADAPTIVE PATTERN-CLASSIFICATION AND UNIVERSAL RECODING .2. FEEDBACK, EXPECTATION, OLFACTION, ILLUSIONS								BIOLOGICAL CYBERNETICS				23	4			187	202					1976	1976																		0340-1200	1432-0770		WOS:A1976CC79000002	963125	
J	GROSSBERG, S								NONLINEAR NEURAL NETWORKS - PRINCIPLES, MECHANISMS, AND ARCHITECTURES								NEURAL NETWORKS				1	1			17	61		10.1016/0893-6080(88)90021-4			1988	1988																		0893-6080			WOS:A1988P002200002		
J	GROSSBERG, S								PROCESSING OF EXPECTED AND UNEXPECTED EVENTS DURING CONDITIONING AND ATTENTION - A PSYCHOPHYSIOLOGICAL THEORY								PSYCHOLOGICAL REVIEW				89	5			529	572		10.1037/0033-295X.89.5.529			1982	1982																		0033-295X	1939-1471		WOS:A1982PF78900004	7178332	
