PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	ACKLEY, DH; HINTON, GE; SEJNOWSKI, TJ								A LEARNING ALGORITHM FOR BOLTZMANN MACHINES								COGNITIVE SCIENCE				9	1			147	169					1985	1985																		0364-0213			WOS:A1985AFZ2900007		
J	AMARI, S; KURATA, K; NAGAOKA, H				Amari, Shun-ichi/A-5901-2016				INFORMATION GEOMETRY OF BOLTZMANN MACHINES								IEEE TRANSACTIONS ON NEURAL NETWORKS				3	2			260	271		10.1109/72.125867			MAR 1992	1992																		1045-9227			WOS:A1992HD06400010	18276427	
J	AMARI, S				Amari, Shun-ichi/A-5901-2016				MATHEMATICAL FOUNDATIONS OF NEUROCOMPUTING								PROCEEDINGS OF THE IEEE				78	9			1443	1463		10.1109/5.58324			SEP 1990	1990																		0018-9219	1558-2256		WOS:A1990EC03500003		
J	AMIT, DJ; GUTFREUND, H								SPIN-GLASS MODELS OF NEURAL NETWORKS								PHYSICAL REVIEW A				32	2			1007	1018		10.1103/PhysRevA.32.1007			1985	1985																		1050-2947			WOS:A1985ANG1100040		
J	AMIT, DJ; GUTFREUND, H; SOMPOLINSKY, H								STORING INFINITE NUMBERS OF PATTERNS IN A SPIN-GLASS MODEL OF NEURAL NETWORKS								PHYSICAL REVIEW LETTERS				55	14			1530	1533		10.1103/PhysRevLett.55.1530			1985	1985																		0031-9007			WOS:A1985ARF9900027		
J	BARRON, AR; XIAO, XG								MULTIVARIATE ADAPTIVE REGRESSION SPLINES - DISCUSSION								ANNALS OF STATISTICS				19	1			67	82		10.1214/aos/1176347964			MAR 1991	1991																		0090-5364			WOS:A1991FF04700002		
J	BARRON, AR				Rohlf, F/A-8710-2008				UNIVERSAL APPROXIMATION BOUNDS FOR SUPERPOSITIONS OF A SIGMOIDAL FUNCTION								IEEE TRANSACTIONS ON INFORMATION THEORY				39	3			930	945		10.1109/18.256500			MAY 1993	1993																		0018-9448			WOS:A1993LM87300017		
J	BARRON, AR								APPROXIMATION AND ESTIMATION BOUNDS FOR ARTIFICIAL NEURAL NETWORKS								MACHINE LEARNING				14	1			115	133		10.1023/A:1022650905902			JAN 1994	1994																		0885-6125			WOS:A1994MV33200006		
J	BENGIO, Y; DEMORI, R; FLAMMIA, G; KOMPE, R								GLOBAL OPTIMIZATION OF A NEURAL NETWORK-HIDDEN MARKOV MODEL HYBRID								IEEE TRANSACTIONS ON NEURAL NETWORKS				3	2			252	259		10.1109/72.125866			MAR 1992	1992																		1045-9227			WOS:A1992HD06400009	18276426	
J	BESAG, J; GREEN, PJ								SPATIAL STATISTICS AND BAYESIAN COMPUTATION								JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-METHODOLOGICAL				55	1			25	37					1993	1993																		0035-9246			WOS:A1993KL31400002		
J	BIENENSTOCK, E; VONDERMALSBURG, C								A NEURAL NETWORK FOR INVARIANT PATTERN-RECOGNITION								EUROPHYSICS LETTERS				4	1			121	126		10.1209/0295-5075/4/1/020			JUL 1 1987	1987																		0295-5075			WOS:A1987H939900020		
J	BORNHOLDT, S; GRAUDENZ, D								GENERAL ASYMMETRIC NEURAL NETWORKS AND STRUCTURE DESIGN BY GENETIC ALGORITHMS								NEURAL NETWORKS				5	2			327	334		10.1016/S0893-6080(05)80030-9			1992	1992																		0893-6080			WOS:A1992HL21400012		
B	BOURLARD, HA						ECKMILLER, R		HOW CONNECTIONIST MODELS COULD IMPROVE MARKOV-MODELS FOR SPEECH RECOGNITION								ADVANCED NEURAL COMPUTERS								247	254					1990	1990						INTERNATIONAL SYMP ON NEURAL NETWORKS FOR SENSORY AND MOTOR SYSTEMSINTERNATIONAL SYMP ON NEURAL NETWORKS FOR SENSORY AND MOTOR SYSTEMS	MAR   24, 1990MAR   24, 1990	USAF, OFF SCI RES; MINISTER WISSENSCH & FORSCH LANDES NORDRHEIN WESTFALEN; USN, OFF NAVAL RES; USN, OFF NAVAL RES, EUROPEAN OFFUSAF, OFF SCI RES; MINISTER WISSENSCH & FORSCH LANDES NORDRHEIN WESTFALEN; USN, OFF NAVAL RES; USN, OFF NAVAL RES, EUROPEAN OFF	NEUSS, FED REP GERNEUSS, FED REP GER											0-444-88400-9	WOS:A1990BT97G00029		
