PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	ASPINALL, R; VEITCH, N								HABITAT MAPPING FROM SATELLITE IMAGERY AND WILDLIFE SURVEY DATA USING A BAYESIAN MODELING PROCEDURE IN A GIS								PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING				59	4			537	543					APR 1993	1993																		0099-1112			WOS:A1993KV86700010		
J	AUSTIN, MP				Austin, Mike/G-2199-2010				CONTINUUM CONCEPT, ORDINATION METHODS, AND NICHE THEORY								ANNUAL REVIEW OF ECOLOGY AND SYSTEMATICS				16				39	61					1985	1985																		0066-4162			WOS:A1985AUL3900003		
J	AUSTIN, MP; NICHOLLS, AO; MARGULES, CR				Margules, Chris/F-4605-2012; Austin, Mike/G-2199-2010				MEASUREMENT OF THE REALIZED QUALITATIVE NICHE - ENVIRONMENTAL NICHES OF 5 EUCALYPTUS SPECIES								ECOLOGICAL MONOGRAPHS				60	2			161	177		10.2307/1943043			JUN 1990	1990																		0012-9615			WOS:A1990DE96200002		
J	AUSTIN, MP; NICHOLLS, AO; DOHERTY, MD; MEYERS, JA				Doherty, Michael/E-9700-2010; Meyers, Jacqui/B-5130-2011; Austin, Mike/G-2199-2010	Doherty, Michael/0000-0001-7671-880X; 			DETERMINING SPECIES RESPONSE FUNCTIONS TO AN ENVIRONMENTAL GRADIENT BY MEANS OF A BETA-FUNCTION								JOURNAL OF VEGETATION SCIENCE				5	2			215	228		10.2307/3236154			APR 1994	1994																		1100-9233			WOS:A1994NN71400009		
J	AUSTIN, MP; SMITH, TM				Austin, Mike/G-2199-2010				A NEW MODEL FOR THE CONTINUUM CONCEPT								VEGETATIO				83	1-2			35	47		10.1007/BF00031679			OCT 1 1989	1989																		0042-3106			WOS:A1989CC36000004		
J	BAKER, WL; EGBERT, SL; FRAZIER, GF				Baker, William/A-7008-2008; Egbert, Stephen/B-3542-2013				A SPATIAL MODEL FOR STUDYING THE EFFECTS OF CLIMATIC-CHANGE ON THE STRUCTURE OF LANDSCAPES SUBJECT TO LARGE DISTURBANCES								ECOLOGICAL MODELLING				56	1-4			109	125		10.1016/0304-3800(91)90195-7			SEP 1991	1991																		0304-3800			WOS:A1991GN05700006		
J	BAND, LE				Namikawa, Laercio/C-5559-2013	Namikawa, Laercio/0000-0001-7847-1804			TOPOGRAPHIC PARTITION OF WATERSHEDS WITH DIGITAL ELEVATION MODELS								WATER RESOURCES RESEARCH				22	1			15	24		10.1029/WR022i001p00015			JAN 1986	1986																		0043-1397			WOS:A1986AYB0300003		
J	BAUER, ME; BURK, TE; EK, AR; COPPIN, PR; LIME, SD; WALSH, TA; WALTERS, DK; BEFORT, W; HEINZEN, DF				Coppin, Pol/A-5201-2013				SATELLITE INVENTORY OF MINNESOTA FOREST RESOURCES								PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING				60	3			287	298					MAR 1994	1994																		0099-1112			WOS:A1994NA95900004		
J	BAYES, AJ; MACKEY, BG								ALGORITHMS FOR MONOTONIC FUNCTIONS AND THEIR APPLICATION TO ECOLOGICAL-STUDIES IN VEGETATION SCIENCE								ECOLOGICAL MODELLING				56	1-4			135	159		10.1016/0304-3800(91)90197-9			SEP 1991	1991																		0304-3800			WOS:A1991GN05700008		
J	BENEDIKTSSON, JA; SWAIN, PH; ERSOY, OK				Benediktsson, Jon/F-2861-2010	Benediktsson, Jon/0000-0003-0621-9647			CONJUGATE-GRADIENT NEURAL NETWORKS IN CLASSIFICATION OF MULTISOURCE AND VERY-HIGH-DIMENSIONAL REMOTE-SENSING DATA								INTERNATIONAL JOURNAL OF REMOTE SENSING				14	15			2883	2903					OCT 1993	1993																		0143-1161			WOS:A1993MF90700012		
