PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	ALLEY, K; BAKER, R; SIMPSON, JI								AFFERENTS TO VESTIBULO-CEREBELLUM AND ORIGIN OF VISUAL CLIMBING FIBERS IN RABBIT								BRAIN RESEARCH				98	3			582	589		10.1016/0006-8993(75)90375-3			1975	1975																		0006-8993			WOS:A1975AV77900012	1182539	
J	ARSHAVSKY, YI; GELFAND, IM; ORLOVSKY, GN; PAVLOVA, GA								MESSAGES CONVEYED BY SPINOCEREBELLAR PATHWAYS DURING SCRATCHING IN CAT .2. ACTIVITY OF NEURONS OF VENTRAL SPINOCEREBELLAR TRACT								BRAIN RESEARCH				151	3			493	506		10.1016/0006-8993(78)91082-X			1978	1978																		0006-8993			WOS:A1978FM49900006	667627	
J	ARSHAVSKY, YI; BERKINBLIT, MB; ORLOVSKY, GN; FUKSON, OI; GELFAND, IM								ORIGIN OF MODULATION IN NEURONS OF VENTRAL SPINOCEREBELLAR TRACT DURING LOCOMOTION								BRAIN RESEARCH				43	1			276	+		10.1016/0006-8993(72)90296-X			1972	1972																		0006-8993	1872-6240		WOS:A1972N183500027	5050196	
J	BARMACK, NH; PETTOROSSI, VE								EFFECTS OF UNILATERAL LESIONS OF THE FLOCCULUS ON OPTOKINETIC AND VESTIBULOOCULAR REFLEXES OF THE RABBIT								JOURNAL OF NEUROPHYSIOLOGY				53	2			481	496					1985	1985																		0022-3077			WOS:A1985ACB0500010	3872352	
J	BARMACK, NH; SIMPSON, JI								EFFECTS OF MICROLESIONS OF DORSAL CAP OF INFERIOR OLIVE OF RABBITS ON OPTOKINETIC AND VESTIBULOOCULAR REFLEXES								JOURNAL OF NEUROPHYSIOLOGY				43	1			182	206					1980	1980																		0022-3077			WOS:A1980JC97100013	6965403	
J	BERGER, TW; ALGER, B; THOMPSON, RF								NEURONAL SUBSTRATE OF CLASSICAL-CONDITIONING IN HIPPOCAMPUS								SCIENCE				192	4238			483	485		10.1126/science.1257783			1976	1976																		0036-8075			WOS:A1976BN98000027	1257783	
J	BERTHIER, NE; MOORE, JW								CEREBELLAR PURKINJE-CELL ACTIVITY RELATED TO THE CLASSICALLY-CONDITIONED NICTITATING-MEMBRANE RESPONSE								EXPERIMENTAL BRAIN RESEARCH				63	2			341	350					1986	1986																		0014-4819			WOS:A1986D462300011	3758251	
J	BUONOMANO, DV; MAUK, MD								NEURAL-NETWORK MODEL OF THE CEREBELLUM - TEMPORAL DISCRIMINATION AND THE TIMING OF MOTOR-RESPONSES								NEURAL COMPUTATION				6	1			38	55		10.1162/neco.1994.6.1.38			JAN 1994	1994																		0899-7667	1530-888X		WOS:A1994PF90700005		
J	CHAPMAN, PF; STEINMETZ, JE; SEARS, LL; THOMPSON, RF								EFFECTS OF LIDOCAINE INJECTION IN THE INTERPOSITUS NUCLEUS AND RED NUCLEUS ON CONDITIONED BEHAVIORAL AND NEURONAL RESPONSES								BRAIN RESEARCH				537	1-2			149	156		10.1016/0006-8993(90)90351-B			DEC 24 1990	1990																		0006-8993			WOS:A1990EP96100019	2085770	
J	CLARK, GA; MCCORMICK, DA; LAVOND, DG; THOMPSON, RF				Kobelt, Liza/F-5926-2011; McCormick, David/J-2649-2015	McCormick, David/0000-0002-9803-8335			EFFECTS OF LESIONS OF CEREBELLAR NUCLEI ON CONDITIONED BEHAVIORAL AND HIPPOCAMPAL NEURONAL RESPONSES								BRAIN RESEARCH				291	1			125	136		10.1016/0006-8993(84)90658-9			1984	1984																		0006-8993			WOS:A1984SB44500014	6697177	
