PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	ANGELINE, PJ; SAUNDERS, GM; POLLACK, JB								AN EVOLUTIONARY ALGORITHM THAT CONSTRUCTS RECURRENT NEURAL NETWORKS								IEEE TRANSACTIONS ON NEURAL NETWORKS				5	1			54	65		10.1109/72.265960			JAN 1994	1994																		1045-9227			WOS:A1994MY60000006	18267779	
J	FARMER, JD; SIDOROWICH, JJ								PREDICTING CHAOTIC TIME-SERIES								PHYSICAL REVIEW LETTERS				59	8			845	848		10.1103/PhysRevLett.59.845			AUG 24 1987	1987																		0031-9007			WOS:A1987J675000001		
J	FINNOFF, W; HERGERT, F; ZIMMERMANN, HG								IMPROVING MODEL SELECTION BY NONCONVERGENT METHODS								NEURAL NETWORKS				6	6			771	783		10.1016/S0893-6080(05)80122-4			1993	1993																		0893-6080			WOS:A1993LW22200002		
J	FOGEL, DB; FOGEL, LJ; PORTO, VW								EVOLVING NEURAL NETWORKS								BIOLOGICAL CYBERNETICS				63	6			487	493		10.1007/BF00199581			1990	1990																		0340-1200			WOS:A1990EB82100009		
J	FOGEL, GB; FOGEL, DB								CONTINUOUS EVOLUTIONARY PROGRAMMING - ANALYSIS AND EXPERIMENTS								CYBERNETICS AND SYSTEMS				26	1			79	90		10.1080/01969729508927488			JAN-FEB 1995	1995																		0196-9722			WOS:A1995QL55300003		
J	MACKEY, MC; GLASS, L				Glass, Leon/C-5732-2008	Mackey, Michael/0000-0002-8524-2396			OSCILLATION AND CHAOS IN PHYSIOLOGICAL CONTROL-SYSTEMS								SCIENCE				197	4300			287	288		10.1126/science.267326			1977	1977																		0036-8075			WOS:A1977DM07500033	267326	
J	MANIEZZO, V					maniezzo, vittorio/0000-0002-1220-1235			GENETIC EVOLUTION OF THE TOPOLOGY AND WEIGHT DISTRIBUTION OF NEURAL NETWORKS								IEEE TRANSACTIONS ON NEURAL NETWORKS				5	1			39	53		10.1109/72.265959			JAN 1994	1994																		1045-9227			WOS:A1994MY60000005	18267778	
J	MARTINETZ, TM; BERKOVICH, SG; SCHULTEN, KJ				Schulten, Klaus/D-5561-2009				NEURAL-GAS NETWORK FOR VECTOR QUANTIZATION AND ITS APPLICATION TO TIME-SERIES PREDICTION								IEEE TRANSACTIONS ON NEURAL NETWORKS				4	4			558	569		10.1109/72.238311			JUL 1993	1993																		1045-9227	1941-0093		WOS:A1993LZ80700002	18267757	
J	MCDONNELL, JR; WAAGEN, D								EVOLVING RECURRENT PERCEPTRONS FOR TIME-SERIES MODELING								IEEE TRANSACTIONS ON NEURAL NETWORKS				5	1			24	38		10.1109/72.265958			JAN 1994	1994																		1045-9227	1941-0093		WOS:A1994MY60000004	18267777	
J	ODRI, SV; PETROVACKI, DP; KRSTONOSIC, GA								EVOLUTIONAL DEVELOPMENT OF A MULTILEVEL NEURAL-NETWORK								NEURAL NETWORKS				6	4			583	595		10.1016/S0893-6080(05)80061-9			1993	1993																		0893-6080			WOS:A1993LE96800010		
