PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Aharon, Michal; Elad, Michael; Bruckstein, Alfred								K-SVD: An algorithm for designing overcomplete dictionaries for sparse representation								IEEE TRANSACTIONS ON SIGNAL PROCESSING				54	11			4311	4322		10.1109/TSP.2006.881199			NOV 2006	2006																		1053-587X	1941-0476		WOS:000241537700021		
J	Argyriou, Andreas; Evgeniou, Theodoros; Pontil, Massimiliano								Convex multi-task feature learning								MACHINE LEARNING				73	3			243	272		10.1007/s10994-007-5040-8			DEC 2008	2008																		0885-6125			WOS:000260517100003		
J	Blei, DM; Ng, AY; Jordan, MI								Latent Dirichlet allocation								JOURNAL OF MACHINE LEARNING RESEARCH				3	4-5			993	1022		10.1162/jmlr.2003.3.4-5.993			MAY 15 2003	2003						18th International Conference on Machine Learning18th International Conference on Machine Learning	JUN 28-JUL 01, 2001JUN 28-JUL 01, 2001		WILLIAMSTOWN, MASSACHUSETTSWILLIAMSTOWN, MASSACHUSETTS									1532-4435			WOS:000184926200015		
J	Daubechies, I; Defrise, M; De Mol, C				Daubechies, Ingrid/B-5886-2012				An iterative thresholding algorithm for linear inverse problems with a sparsity constraint								COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS				57	11			1413	1457		10.1002/cpa.20042			NOV 2004	2004																		0010-3640	1097-0312		WOS:000224146400001		
J	Donoho, DL								Compressed sensing								IEEE TRANSACTIONS ON INFORMATION THEORY				52	4			1289	1306		10.1109/TIT.2006.871582			APR 2006	2006																		0018-9448			WOS:000236714000001		
J	Duarte, Marco F.; Davenport, Mark A.; Takhar, Dharmpal; Laska, Jason N.; Sun, Ting; Kelly, Kevin F.; Baraniuk, Richard G.				Takhar, Dharmpal/F-6379-2012; Duarte, Marco/G-6906-2012; Magazine, Signal Processing/E-9947-2015; Kelly,  Kevin/F-8969-2015; Sun, Ting/M-7064-2015	Duarte, Marco/0000-0001-8410-3266; Sun, Ting/0000-0001-8292-0254			Single-pixel imaging via compressive sampling								IEEE SIGNAL PROCESSING MAGAZINE				25	2			83	91		10.1109/MSP.2007.914730			MAR 2008	2008																		1053-5888	1558-0792		WOS:000254471100012		
J	Efron, B; Hastie, T; Johnstone, I; Tibshirani, R								Least angle regression								ANNALS OF STATISTICS				32	2			407	451					APR 2004	2004																		0090-5364			WOS:000221411000001		
J	Elad, Michael; Aharon, Michal								Image denoising via sparse and redundant representations over learned dictionaries								IEEE TRANSACTIONS ON IMAGE PROCESSING				15	12			3736	3745		10.1109/TIP.2006.881969			DEC 2006	2006																		1057-7149			WOS:000242362900010	17153947	
J	FLOYD, RW; STEINBERG, L								ADAPTIVE ALGORITHM FOR SPATIAL GREYSCALE								PROCEEDINGS OF THE SID				17	2			75	77					1976	1976																		0734-1768			WOS:A1976CU99800003		
J	Fuchs, JJ								Recovery of exact sparse representations in the presence of bounded noise								IEEE TRANSACTIONS ON INFORMATION THEORY				51	10			3601	3608		10.1109/TIT.2005.855614			OCT 2005	2005						IEEE International Conference on Acoustics, Speech, and Signal ProcessingIEEE International Conference on Acoustics, Speech, and Signal Processing	MAY 17-21, 2004MAY 17-21, 2004	IEEE Signal Proc Soc; IEEEIEEE Signal Proc Soc; IEEE	Montreal, CANADAMontreal, CANADA									0018-9448	1557-9654		WOS:000232314300016		
J	Johnson, C. Richard, Jr.; Hendriks, Ella; Berezhnoy, Igor J.; Brevdo, Eugene; Hughes, Shannon M.; Daubechies, Ingrid; Li, Jia; Postma, Eric; Wang, James Z.				Daubechies, Ingrid/B-5886-2012; Magazine, Signal Processing/E-9947-2015				Image processing for artist identification								IEEE SIGNAL PROCESSING MAGAZINE				25	4			37	48		10.1109/MSP.2008.923513			JUL 2008	2008																		1053-5888	1558-0792		WOS:000257074500007		
J	Kite, TD; Damera-Venkata, N; Evans, BL; Bovik, AC					Bovik, Alan/0000-0001-6067-710X			A fast, high-quality inverse halftoning algorithm for error diffused halftones								IEEE TRANSACTIONS ON IMAGE PROCESSING				9	9			1583	1592		10.1109/83.862639			SEP 2000	2000																		1057-7149	1941-0042		WOS:000088914400011	18262995	
