PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	AHA, DW; KIBLER, D; ALBERT, MK				Albert, Marc/A-1693-2009				INSTANCE-BASED LEARNING ALGORITHMS								MACHINE LEARNING				6	1			37	66		10.1007/BF00153759			JAN 1991	1991																		0885-6125			WOS:A1991EW46800002		
J	CHOU, PY; FASMAN, GD								PREDICTION OF PROTEIN CONFORMATION								BIOCHEMISTRY				13	2			222	245		10.1021/bi00699a002			1974	1974																		0006-2960			WOS:A1974R818500002	4358940	
J	COHEN, FE; ABARBANEL, RM; KUNTZ, ID; FLETTERICK, RJ								TURN PREDICTION IN PROTEINS USING A PATTERN-MATCHING APPROACH								BIOCHEMISTRY				25	1			266	275		10.1021/bi00349a037			JAN 14 1986	1986																		0006-2960			WOS:A1986AYU2800037	3754149	
J	COVER, TM; HART, PE								NEAREST NEIGHBOR PATTERN CLASSIFICATION								IEEE TRANSACTIONS ON INFORMATION THEORY				13	1			21	+		10.1109/TIT.1967.1053964			1967	1967																		0018-9448			WOS:A19679181500004		
J	GARNIER, J; OSGUTHORPE, DJ; ROBSON, B								ANALYSIS OF ACCURACY AND IMPLICATIONS OF SIMPLE METHODS FOR PREDICTING SECONDARY STRUCTURE OF GLOBULAR PROTEINS								JOURNAL OF MOLECULAR BIOLOGY				120	1			97	120		10.1016/0022-2836(78)90297-8			1978	1978																		0022-2836			WOS:A1978EW60300006	642007	
J	HANSON, SJ; BURR, DJ								WHAT CONNECTIONIST MODELS LEARN - LEARNING AND REPRESENTATION IN CONNECTIONIST NETWORKS								BEHAVIORAL AND BRAIN SCIENCES				13	3			471	488					SEP 1990	1990																		0140-525X	1469-1825		WOS:A1990DT16200020		
J	HOLLEY, LH; KARPLUS, M								PROTEIN SECONDARY STRUCTURE PREDICTION WITH A NEURAL NETWORK								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				86	1			152	156		10.1073/pnas.86.1.152			JAN 1989	1989																		0027-8424			WOS:A1989R820200033	2911565	
J	KABSCH, W; SANDER, C				de Sousa, Miguel/A-3877-2009; sander, chris/H-1452-2011				DICTIONARY OF PROTEIN SECONDARY STRUCTURE - PATTERN-RECOGNITION OF HYDROGEN-BONDED AND GEOMETRICAL FEATURES								BIOPOLYMERS				22	12			2577	2637		10.1002/bip.360221211			1983	1983																		0006-3525			WOS:A1983RV60400010	6667333	
J	LATHROP, RH; WEBSTER, TA; SMITH, TF				sebastianovitsch, stepan/G-8507-2013				ARIADNE - PATTERN-DIRECTED INFERENCE AND HIERARCHICAL ABSTRACTION IN PROTEIN-STRUCTURE RECOGNITION								COMMUNICATIONS OF THE ACM				30	11			909	921		10.1145/32206.32207			NOV 1987	1987																		0001-0782			WOS:A1987K962100015		
J	LIM, VI								ALGORITHMS FOR PREDICTION OF ALPHA-HELICAL AND BETA-STRUCTURAL REGIONS IN GLOBULAR PROTEINS								JOURNAL OF MOLECULAR BIOLOGY				88	4			873	894		10.1016/0022-2836(74)90405-7			1974	1974																		0022-2836			WOS:A1974U478800011	4427384	
J	MEDIN, DL; SCHAFFER, MM								CONTEXT THEORY OF CLASSIFICATION LEARNING								PSYCHOLOGICAL REVIEW				85	3			207	238		10.1037//0033-295X.85.3.207			1978	1978																		0033-295X			WOS:A1978FA13700005		
J	NOSOFSKY, RM								CHOICE, SIMILARITY, AND THE CONTEXT THEORY OF CLASSIFICATION								JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION				10	1			104	114		10.1037/0278-7393.10.1.104			1984	1984																		0278-7393			WOS:A1984SD55100009	6242730	
J	ONEILL, MC								ESCHERICHIA-COLI PROMOTERS .1. CONSENSUS AS IT RELATES TO SPACING CLASS, SPECIFICITY, REPEAT SUBSTRUCTURE, AND 3-DIMENSIONAL ORGANIZATION								JOURNAL OF BIOLOGICAL CHEMISTRY				264	10			5522	5530					APR 5 1989	1989																		0021-9258			WOS:A1989T999200033	2647720	
J	Qian, N; SEJNOWSKI, TJ								PREDICTING THE SECONDARY STRUCTURE OF GLOBULAR-PROTEINS USING NEURAL NETWORK MODELS								JOURNAL OF MOLECULAR BIOLOGY				202	4			865	884		10.1016/0022-2836(88)90564-5			AUG 20 1988	1988																		0022-2836			WOS:A1988P746100015	3172241	
J	REED, SK								PATTERN RECOGNITION AND CATEGORIZATION								COGNITIVE PSYCHOLOGY				3	3			382	407		10.1016/0010-0285(72)90014-X			1972	1972																		0010-0285			WOS:A1972M981700002		
