PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	ACKLEY, DH; HINTON, GE; SEJNOWSKI, TJ								A LEARNING ALGORITHM FOR BOLTZMANN MACHINES								COGNITIVE SCIENCE				9	1			147	169					1985	1985																		0364-0213			WOS:A1985AFZ2900007		
J	BARTO, AG; ANANDAN, P								PATTERN-RECOGNIZING STOCHASTIC LEARNING AUTOMATA								IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS				15	3			360	375					1985	1985																		0018-9472			WOS:A1985AKP1500007		
J	BECKER, S; HINTON, GE				Becker, Suzanna/H-8197-2013				SELF-ORGANIZING NEURAL NETWORK THAT DISCOVERS SURFACES IN RANDOM-DOT STEREOGRAMS								NATURE				355	6356			161	163		10.1038/355161a0			JAN 9 1992	1992																		0028-0836			WOS:A1992GY62900058	1729650	
J	CARPENTER, GA; GROSSBERG, S								A MASSIVELY PARALLEL ARCHITECTURE FOR A SELF-ORGANIZING NEURAL PATTERN-RECOGNITION MACHINE								COMPUTER VISION GRAPHICS AND IMAGE PROCESSING				37	1			54	115		10.1016/S0734-189X(87)80014-2			JAN 1987	1987																		0734-189X			WOS:A1987F565800004		
J	DAYAN, P; ZEMEL, RS								COMPETITION AND MULTIPLE CAUSE MODELS								NEURAL COMPUTATION				7	3			565	579		10.1162/neco.1995.7.3.565			MAY 1995	1995																		0899-7667			WOS:A1995QQ86600008		
J	DEMPSTER, AP; LAIRD, NM; RUBIN, DB								MAXIMUM LIKELIHOOD FROM INCOMPLETE DATA VIA EM ALGORITHM								JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-METHODOLOGICAL				39	1			1	38					1977	1977																		0035-9246			WOS:A1977DM46400001		
J	HINTON, GE; DAYAN, P; FREY, BJ; NEAL, RM								THE WAKE-SLEEP ALGORITHM FOR UNSUPERVISED NEURAL NETWORKS								SCIENCE				268	5214			1158	1161		10.1126/science.7761831			MAY 26 1995	1995																		0036-8075			WOS:A1995RA60400031	7761831	
J	JORDAN, MI; RUMELHART, DE								FORWARD MODELS - SUPERVISED LEARNING WITH A DISTAL TEACHER								COGNITIVE SCIENCE				16	3			307	354		10.1207/s15516709cog1603_1			JUL-SEP 1992	1992																		0364-0213			WOS:A1992JR20400001		
J	KAWATO, M; HAYAKAWA, H; INUI, T								A FORWARD-INVERSE OPTICS MODEL OF RECIPROCAL CONNECTIONS BETWEEN VISUAL CORTICAL AREAS								NETWORK-COMPUTATION IN NEURAL SYSTEMS				4	4			415	422		10.1088/0954-898X/4/4/001			NOV 1993	1993																		0954-898X			WOS:A1993MJ25700001		
J	LUTTRELL, SP								SELF-SUPERVISED ADAPTIVE NETWORKS								IEE PROCEEDINGS-F RADAR AND SIGNAL PROCESSING				139	6			371	377					DEC 1992	1992						2ND INTERNATIONAL CONF ON ARTIFICIAL NEURAL NETWORKS2ND INTERNATIONAL CONF ON ARTIFICIAL NEURAL NETWORKS	NOV, 1991NOV, 1991	INST ELECT ENGINEERSINST ELECT ENGINEERS	BOURNEMOUTH, ENGLANDBOURNEMOUTH, ENGLAND									0956-375X			WOS:A1992KD33600002		
J	LUTTRELL, SP								A BAYESIAN-ANALYSIS OF SELF-ORGANIZING MAPS								NEURAL COMPUTATION				6	5			767	794		10.1162/neco.1994.6.5.767			SEP 1994	1994																		0899-7667			WOS:A1994PF91100001		
J	NEAL, RM								CONNECTIONIST LEARNING OF BELIEF NETWORKS								ARTIFICIAL INTELLIGENCE				56	1			71	113		10.1016/0004-3702(92)90065-6			JUL 1992	1992																		0004-3702			WOS:A1992JC65200003		
J	SAUND, E								A MULTIPLE CAUSE MIXTURE MODEL FOR UNSUPERVISED LEARNING								NEURAL COMPUTATION				7	1			51	71		10.1162/neco.1995.7.1.51			JAN 1995	1995																		0899-7667			WOS:A1995QG83300006		
J	WILLIAMS, RJ								SIMPLE STATISTICAL GRADIENT-FOLLOWING ALGORITHMS FOR CONNECTIONIST REINFORCEMENT LEARNING								MACHINE LEARNING				8	3-4			229	256		10.1023/A:1022672621406			MAY 1992	1992																		0885-6125			WOS:A1992HV72300002		
J	ZEMEL, RS; HINTON, GE								LEARNING POPULATION CODES BY MINIMIZING DESCRIPTION LENGTH								NEURAL COMPUTATION				7	3			549	564		10.1162/neco.1995.7.3.549			MAY 1995	1995																		0899-7667			WOS:A1995QQ86600007		
