PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	BURKE, HB								ARTIFICIAL NEURAL NETWORKS FOR CANCER-RESEARCH - OUTCOME PREDICTION								SEMINARS IN SURGICAL ONCOLOGY				10	1			73	79		10.1002/ssu.2980100111			JAN-FEB 1994	1994																		8756-0437			WOS:A1994MT98700010	8115788	
J	COX, DR								REGRESSION MODELS AND LIFE-TABLES								JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY				34	2			187	+					1972	1972																		1369-7412	1467-9868		WOS:A1972N572600003		
J	DELAURENTIIS, M; RAVDIN, PM								A TECHNIQUE FOR USING NEURAL-NETWORK ANALYSIS TO PERFORM SURVIVAL ANALYSIS OF CENSORED-DATA								CANCER LETTERS				77	2-3			127	138		10.1016/0304-3835(94)90095-7			MAR 15 1994	1994																		0304-3835			WOS:A1994NG27400009	8168059	
J	FLETCHER, SW; BLACK, W; HARRIS, R; RIMER, BK; SHAPIRO, S								REPORT OF THE INTERNATIONAL WORKSHOP ON SCREENING FOR BREAST-CANCER								JOURNAL OF THE NATIONAL CANCER INSTITUTE				85	20			1644	1656		10.1093/jnci/85.20.1644			OCT 20 1993	1993																		0027-8874			WOS:A1993MB67000013	8105098	
J	GIARD, RWM; HERMANS, J								THE VALUE OF ASPIRATION CYTOLOGIC EXAMINATION OF THE BREAST - A STATISTICAL REVIEW OF THE MEDICAL LITERATURE								CANCER				69	8			2104	2110		10.1002/1097-0142(19920415)69:8<2104::AID-CNCR2820690816>3.0.CO;2-O			APR 15 1992	1992																		0008-543X			WOS:A1992HL10200015	1544116	
J	GLOVER, F								IMPROVED LINEAR-PROGRAMMING MODELS FOR DISCRIMINANT-ANALYSIS								DECISION SCIENCES				21	4			771	785		10.1111/j.1540-5915.1990.tb01249.x			FAL 1990	1990																		0011-7315			WOS:A1990EQ71400007		
J	GRINOLD, RC								MATHEMATICAL PROGRAMMING METHODS OF PATTERN CLASSIFICATION								MANAGEMENT SCIENCE SERIES A-THEORY				19	3			272	289		10.1287/mnsc.19.3.272			1972	1972																					WOS:A1972O072100005		
J	KAPLAN, EL; MEIER, P								NONPARAMETRIC-ESTIMATION FROM INCOMPLETE OBSERVATIONS								JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION				53	282			457	481		10.2307/2281868			1958	1958																		0162-1459			WOS:A1958WX09300012		
J	LACHENBR.PA; MICKEY, MR								ESTIMATION OF ERROR RATES IN DISCRIMINANT ANALYSIS								TECHNOMETRICS				10	1			1	&		10.2307/1266219			1968	1968																		0040-1706			WOS:A1968A664000001		
J	MANGASARIAN, OL								MULTISURFACE METHOD OF PATTERN SEPARATION								IEEE TRANSACTIONS ON INFORMATION THEORY				14	6			801	+		10.1109/TIT.1968.1054229			1968	1968																		0018-9448	1557-9654		WOS:A1968C369800003		
J	MANGASARIAN, OL; MEYER, RR								NON-LINEAR PERTURBATION OF LINEAR PROGRAMS								SIAM JOURNAL ON CONTROL AND OPTIMIZATION				17	6			745	752		10.1137/0317052			1979	1979																		0363-0129			WOS:A1979HU54100006		
J	MARSHALL, E								EPIDEMIOLOGY - SEARCH FOR A KILLER - FOCUS SHIFTS FROM FAT TO HORMONES								SCIENCE				259	5095			618	&		10.1126/science.8430308			JAN 29 1993	1993																		0036-8075			WOS:A1993KJ68800024	8430308	
J	MILLER, BA; FEUER, EJ; HANKEY, BF								RECENT INCIDENCE TRENDS FOR BREAST-CANCER IN WOMEN AND THE RELEVANCE OF EARLY DETECTION - AN UPDATE								CA-A CANCER JOURNAL FOR CLINICIANS				43	1			27	41		10.3322/canjclin.43.1.27			JAN-FEB 1993	1993																		0007-9235			WOS:A1993KG10500003	8422603	
J	PARZEN, E								ESTIMATION OF A PROBABILITY DENSITY-FUNCTION AND MODE								ANNALS OF MATHEMATICAL STATISTICS				33	3			1065	&		10.1214/aoms/1177704472			1962	1962																		0003-4851			WOS:A1962C020000037		
J	RAVDIN, PM; CLARK, GM								A PRACTICAL APPLICATION OF NEURAL NETWORK ANALYSIS FOR PREDICTING OUTCOME OF INDIVIDUAL BREAST-CANCER PATIENTS								BREAST CANCER RESEARCH AND TREATMENT				22	3			285	293		10.1007/BF01840841			1992	1992																		0167-6806			WOS:A1992JQ41500012	1391994	
J	RAVDIN, PM; TANDON, AK; ALLRED, DC; CLARK, GM; FUQUA, SAW; HILSENBECK, SH; CHAMNESS, GC; OSBORNE, CK								CATHEPSIN-D BY WESTERN BLOTTING AND IMMUNOHISTOCHEMISTRY - FAILURE TO CONFIRM CORRELATIONS WITH PROGNOSIS IN NODE-NEGATIVE BREAST-CANCER								JOURNAL OF CLINICAL ONCOLOGY				12	3			467	474					MAR 1994	1994																		0732-183X			WOS:A1994MZ76300005	8120545	
J	SCHENONE, A; ANDREUCCI, L; SANGUINETTI, V; MORASSO, P								NEURAL NETWORKS FOR PROGNOSIS IN BREAST-CANCER								PHYSICA MEDICA				9				175	178				1	JUN 1993	1993						7TH NATIONAL CONGRESS OF THE ASSOC-ITALIANA-DI-FISICA-BIOMEDICA7TH NATIONAL CONGRESS OF THE ASSOC-ITALIANA-DI-FISICA-BIOMEDICA	JUN 08-12, 1992JUN 08-12, 1992	ASSOC ITALIANA FIS BIOMEDASSOC ITALIANA FIS BIOMED	ANCONA, ITALYANCONA, ITALY									1120-1797			WOS:A1993LR43700051		
