PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	ABARBANEL, HDI; BROWN, R; KADTKE, JB								PREDICTION IN CHAOTIC NONLINEAR-SYSTEMS - METHODS FOR TIME-SERIES WITH BROAD-BAND FOURIER SPECTRA								PHYSICAL REVIEW A				41	4			1782	1807		10.1103/PhysRevA.41.1782			FEB 15 1990	1990																		1050-2947			WOS:A1990CP99200003		
J	BOWEN, R								OMEGA-LIMIT SETS FOR AXIOM A DIFFEOMORPHISMS								JOURNAL OF DIFFERENTIAL EQUATIONS				18	2			333	339		10.1016/0022-0396(75)90065-0			1975	1975																		0022-0396			WOS:A1975AK46300007		
J	CASDAGLI, M								NONLINEAR PREDICTION OF CHAOTIC TIME-SERIES								PHYSICA D				35	3			335	356		10.1016/0167-2789(89)90074-2			MAY 1989	1989																		0167-2789			WOS:A1989U790300005		
J	CREMERS, J; HUBLER, A								CONSTRUCTION OF DIFFERENTIAL-EQUATIONS FROM EXPERIMENTAL-DATA								ZEITSCHRIFT FUR NATURFORSCHUNG SECTION A-A JOURNAL OF PHYSICAL SCIENCES				42	8			797	802					AUG 1987	1987																		0932-0784			WOS:A1987J883900005		
J	CRUTCHFIELD, JP; FARMER, JD; HUBERMAN, BA								FLUCTUATIONS AND SIMPLE CHAOTIC DYNAMICS								PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS				92	2			45	82		10.1016/0370-1573(82)90089-8			1982	1982																		0370-1573			WOS:A1982QC29600001		
J	FARMER, JD; SIDOROWICH, JJ								PREDICTING CHAOTIC TIME-SERIES								PHYSICAL REVIEW LETTERS				59	8			845	848		10.1103/PhysRevLett.59.845			AUG 24 1987	1987																		0031-9007			WOS:A1987J675000001		
J	FARMER, JD								SENSITIVE DEPENDENCE ON PARAMETERS IN NONLINEAR DYNAMICS								PHYSICAL REVIEW LETTERS				55	4			351	354		10.1103/PhysRevLett.55.351			1985	1985																		0031-9007			WOS:A1985AMS4600004		
J	KOSTELICH, EJ; YORKE, JA								NOISE-REDUCTION IN DYNAMICAL-SYSTEMS								PHYSICAL REVIEW A				38	3			1649	1652		10.1103/PhysRevA.38.1649			AUG 1 1988	1988																		1050-2947			WOS:A1988P644500074		
J	LORENZ, EN								THE PROBLEM OF DEDUCING THE CLIMATE FROM THE GOVERNING EQUATIONS								TELLUS				16	1			1	11					1964	1964																		0040-2826			WOS:A1964XF68600001		
J	PACKARD, NH; CRUTCHFIELD, JP; FARMER, JD; SHAW, RS								GEOMETRY FROM A TIME-SERIES								PHYSICAL REVIEW LETTERS				45	9			712	716		10.1103/PhysRevLett.45.712			1980	1980																		0031-9007			WOS:A1980KE58800012		
