PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	AHA, DW; KIBLER, D; ALBERT, MK				Albert, Marc/A-1693-2009				INSTANCE-BASED LEARNING ALGORITHMS								MACHINE LEARNING				6	1			37	66		10.1007/BF00153759			JAN 1991	1991																		0885-6125			WOS:A1991EW46800002		
J	ALBRECHT, AJ; GAFFNEY, JE								SOFTWARE FUNCTION, SOURCE LINES OF CODE, AND DEVELOPMENT EFFORT PREDICTION - A SOFTWARE SCIENCE VALIDATION								IEEE TRANSACTIONS ON SOFTWARE ENGINEERING				9	6			639	648		10.1109/TSE.1983.235271			1983	1983																		0098-5589			WOS:A1983RW11600002		
J	BRIAND, LC; BASILI, VR; THOMAS, WM								A PATTERN-RECOGNITION APPROACH FOR SOFTWARE ENGINEERING DATA-ANALYSIS								IEEE TRANSACTIONS ON SOFTWARE ENGINEERING				18	11			931	942		10.1109/32.177363			NOV 1992	1992																		0098-5589			WOS:A1992KB70400002		
J	EVANS, B; FISHER, D								OVERCOMING PROCESS DELAYS WITH DECISION TREE INDUCTION								IEEE EXPERT-INTELLIGENT SYSTEMS & THEIR APPLICATIONS				9	1			60	66		10.1109/64.295130			FEB 1994	1994																		0885-9000			WOS:A1994NJ37700010		
J	KEMERER, CF								AN EMPIRICAL VALIDATION OF SOFTWARE COST ESTIMATION MODELS								COMMUNICATIONS OF THE ACM				30	5			416	429		10.1145/22899.22906			MAY 1987	1987																		0001-0782			WOS:A1987H210200014		
J	MOHANTY, SN								SOFTWARE COST ESTIMATION - PRESENT AND FUTURE								SOFTWARE-PRACTICE & EXPERIENCE				11	2			103	121		10.1002/spe.4380110202			1981	1981																		0038-0644			WOS:A1981LC88200001		
J	PORTER, AA; SELBY, RW								EMPIRICALLY GUIDED SOFTWARE-DEVELOPMENT USING METRIC-BASED CLASSIFICATION TREES								IEEE SOFTWARE				7	2			46	54		10.1109/52.50773			MAR 1990	1990																		0740-7459			WOS:A1990CQ40300015		
J	PORTER, AA; SELBY, RW								EVALUATING TECHNIQUES FOR GENERATING METRIC-BASED CLASSIFICATION TREES								JOURNAL OF SYSTEMS AND SOFTWARE				12	3			209	218		10.1016/0164-1212(90)90041-J			JUL 1990	1990																		0164-1212			WOS:A1990DV76300005		
J	PUTNAM, LH								GENERAL EMPIRICAL SOLUTION TO MACRO SOFTWARE SIZING AND ESTIMATING PROBLEM								IEEE TRANSACTIONS ON SOFTWARE ENGINEERING				4	4			345	361		10.1109/TSE.1978.231521			1978	1978																		0098-5589			WOS:A1978FK03300013		
J	SCACCHI, W								UNDERSTANDING SOFTWARE PRODUCTIVITY - TOWARDS A KNOWLEDGE-BASED APPROACH								INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING				1	3			293	321		10.1142/S0218194091000214			SEP 1991	1991																		0218-1940			WOS:A1991GM99700005		
J	SELBY, RW; PORTER, AA								LEARNING FROM EXAMPLES - GENERATION AND EVALUATION OF DECISION TREES FOR SOFTWARE RESOURCE ANALYSIS								IEEE TRANSACTIONS ON SOFTWARE ENGINEERING				14	12			1743	1757		10.1109/32.9061			DEC 1988	1988																		0098-5589			WOS:A1988R141400002		
