PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Fisher, RA				Bueno, Ligia/P-1359-2014				The use of multiple measurements in taxonomic problems								ANNALS OF EUGENICS				7				179	188					SEP 1936	1936																					WOS:000200604300007		
J	HATTORI, K; TORII, Y								EFFECTIVE ALGORITHMS FOR THE NEAREST-NEIGHBOR METHOD IN THE CLUSTERING PROBLEM								PATTERN RECOGNITION				26	5			741	746		10.1016/0031-3203(93)90127-I			MAY 1993	1993																		0031-3203			WOS:A1993LK64400009		
J	ISAKA, S; SEBALD, AV								AN OPTIMIZATION APPROACH FOR FUZZY CONTROLLER-DESIGN								IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS				22	6			1469	1473		10.1109/21.199470			NOV-DEC 1992	1992																		0018-9472			WOS:A1992KN76300017		
B	ITOH, O; MIGITA, H; MIYAMOTO, A			IEEE					A METHOD OF DESIGN AND ADJUSTMENT OF FUZZY CONTROL RULES BASED ON OPERATION KNOW-HOW								PROCEEDINGS OF THE THIRD IEEE CONFERENCE ON FUZZY SYSTEMS - IEEE WORLD CONGRESS ON COMPUTATIONAL INTELLIGENCE, VOLS I-III								492	497		10.1109/FUZZY.1994.343736			1994	1994						3rd IEEE Conference on Fuzzy Systems/IEEE World Congress on Computational Intelligence3rd IEEE Conference on Fuzzy Systems/IEEE World Congress on Computational Intelligence	JUN 26-29, 1994JUN 26-29, 1994	IEEE, NEURAL NETWORKS COUNCIL; IEEE, ORLANDO SECTIEEE, NEURAL NETWORKS COUNCIL; IEEE, ORLANDO SECT	ORLANDO, FLORLANDO, FL											0-7803-1897-8	WOS:A1994BC17S00088		
J	KIM, MH; LEE, JH; LEE, YJ				Kim, Myoung Ho/C-1997-2011; Lee, Yoon Joon/C-1881-2011				ANALYSIS OF FUZZY OPERATORS FOR HIGH-QUALITY INFORMATION-RETRIEVAL								INFORMATION PROCESSING LETTERS				46	5			251	256					JUL 9 1993	1993																		0020-0190			WOS:A1993LP11600007		
J	LEE, CC								FUZZY-LOGIC IN CONTROL-SYSTEMS - FUZZY-LOGIC CONTROLLER .1.								IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS				20	2			404	418		10.1109/21.52551			MAR-APR 1990	1990																		0018-9472			WOS:A1990DG60600012		
J	MAMDANI, EH								APPLICATION OF FUZZY ALGORITHMS FOR CONTROL OF SIMPLE DYNAMIC PLANT								PROCEEDINGS OF THE INSTITUTION OF ELECTRICAL ENGINEERS-LONDON				121	12			1585	1588					1974	1974																					WOS:A1974V229300023		
J	SHAFER, G; LOGAN, R								IMPLEMENTING DEMPSTER RULE FOR HIERARCHICAL EVIDENCE								ARTIFICIAL INTELLIGENCE				33	3			271	298		10.1016/0004-3702(87)90040-3			NOV 1987	1987																		0004-3702			WOS:A1987K139100001		
J	TAKAGI, T; SUGENO, M								FUZZY IDENTIFICATION OF SYSTEMS AND ITS APPLICATIONS TO MODELING AND CONTROL								IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS				15	1			116	132					1985	1985																		0018-9472			WOS:A1985AFX0900011		
J	WANG, LX; MENDEL, JM								GENERATING FUZZY RULES BY LEARNING FROM EXAMPLES								IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS				22	6			1414	1427		10.1109/21.199466			NOV-DEC 1992	1992																		0018-9472			WOS:A1992KN76300013		
J	YUAN, YF; SHAW, MJ								INDUCTION OF FUZZY DECISION TREES								FUZZY SETS AND SYSTEMS				69	2			125	139		10.1016/0165-0114(94)00229-Z			JAN 27 1995	1995																		0165-0114			WOS:A1995QJ76100004		
