PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	BOHANEC, M; BRATKO, I								TRADING ACCURACY FOR SIMPLICITY IN DECISION TREES								MACHINE LEARNING				15	3			223	250		10.1007/BF00993345			JUN 1994	1994																		0885-6125			WOS:A1994NV69700001		
J	BUNTINE, W; NIBLETT, T					Buntine, Wray/0000-0001-9292-1015			A FURTHER COMPARISON OF SPLITTING RULES FOR DECISION-TREE INDUCTION								MACHINE LEARNING				8	1			75	85		10.1007/BF00994006			JAN 1992	1992																		0885-6125			WOS:A1992HG43100003		
J	EFRON, B; GONG, G								A LEISURELY LOOK AT THE BOOTSTRAP, THE JACKKNIFE, AND CROSS-VALIDATION								AMERICAN STATISTICIAN				37	1			36	48		10.2307/2685844			1983	1983																		0003-1305			WOS:A1983QB36800026		
J	HOLTE, RC								VERY SIMPLE CLASSIFICATION RULES PERFORM WELL ON MOST COMMONLY USED DATASETS								MACHINE LEARNING				11	1			63	91		10.1023/A:1022631118932			APR 1993	1993																		0885-6125	1573-0565		WOS:A1993LG46600004		
J	MINGERS, J					Mingers, John/0000-0002-4102-4696			EXPERT SYSTEMS - RULE INDUCTION WITH STATISTICAL-DATA								JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY				38	1			39	47		10.2307/2582520			JAN 1987	1987																		0160-5682			WOS:A1987F937400004		
J	QUINLAN, JR; RIVEST, RL								INFERRING DECISION TREES USING THE MINIMUM DESCRIPTION LENGTH PRINCIPLE								INFORMATION AND COMPUTATION				80	3			227	248					MAR 1989	1989																		0890-5401			WOS:A1989T574400003		
J	QUINLAN, JR								SIMPLIFYING DECISION TREES								INTERNATIONAL JOURNAL OF MAN-MACHINE STUDIES				27	3			221	234		10.1016/S0020-7373(87)80053-6			SEP 1987	1987																		0020-7373			WOS:A1987M624800001		
J	RISSANEN, J								A UNIVERSAL PRIOR FOR INTEGERS AND ESTIMATION BY MINIMUM DESCRIPTION LENGTH								ANNALS OF STATISTICS				11	2			416	431		10.1214/aos/1176346150			1983	1983																		0090-5364			WOS:A1983QT81500006		
J	SAFAVIAN, SR; LANDGREBE, D								A SURVEY OF DECISION TREE CLASSIFIER METHODOLOGY								IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS				21	3			660	674		10.1109/21.97458			MAY-JUN 1991	1991																		0018-9472			WOS:A1991GJ60000015		
J	SCHAFFER, C								OVERFITTING AVOIDANCE AS BIAS								MACHINE LEARNING				10	2			153	178		10.1007/BF00993504			FEB 1993	1993																		0885-6125			WOS:A1993KL35600002		
