A1997XQ61800019A1997XQ61800019PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
S	BENNETT, CH; BRASSARD, G; CREPEAU, C; SKUBISZEWSKA, MH				Bennett, Charles  H./G-9082-2013	Bennett, Charles  H./0000-0003-0921-2643	Feigenbaum, J		PRACTICAL QUANTUM OBLIVIOUS TRANSFER								ADVANCES IN CRYPTOLOGY - CRYPTO 91: PROCEEDINGS		LECTURE NOTES IN COMPUTER SCIENCE		576				351	366					1992	1992						CRYPTO 91 CONF ON ADVANCES IN CRYPTOLOGYCRYPTO 91 CONF ON ADVANCES IN CRYPTOLOGY	AUG 11-15, 1991AUG 11-15, 1991	INT ASSOC CRYPTOL RESINT ASSOC CRYPTOL RES	UNIV CALIF SANTA BARBARA, SANTA BARBARA, CAUNIV CALIF SANTA BARBARA, SANTA BARBARA, CA									0302-9743		3-540-55188-3	WOS:A1992BX63U00029		
J	BENNETT, CH				Bennett, Charles  H./G-9082-2013	Bennett, Charles  H./0000-0003-0921-2643			QUANTUM CRYPTOGRAPHY USING ANY 2 NONORTHOGONAL STATES								PHYSICAL REVIEW LETTERS				68	21			3121	3124		10.1103/PhysRevLett.68.3121			MAY 25 1992	1992																		0031-9007			WOS:A1992HV46600002		
J	BENNETT, CH; BRASSARD, G; EKERT, AK				Bennett, Charles  H./G-9082-2013; Ekert, Artur/P-1420-2014	Bennett, Charles  H./0000-0003-0921-2643; 			QUANTUM CRYPTOGRAPHY								SCIENTIFIC AMERICAN				267	4			50	57					OCT 1992	1992																		0036-8733			WOS:A1992KC95800010		
S	BRASSARD, G; CREPEAU, C; JOZSA, R; LANGLOIS, D			IEEE, COMP SOC					A QUANTUM BIT COMMITMENT SCHEME PROVABLY UNBREAKABLE BY BOTH PARTIES								34TH ANNUAL SYMPOSIUM ON FOUNDATIONS OF COMPUTER SCIENCE: PROCEEDINGS		ANNUAL SYMPOSIUM ON FOUNDATIONS OF COMPUTER SCIENCE						362	371					1993	1993						34th Annual Symposium on Foundations of Computer Science (FOCS 93)34th Annual Symposium on Foundations of Computer Science (FOCS 93)	NOV 03-05, 1993NOV 03-05, 1993	IEEE, COMP SOC, TECH COMM MATH FDN COMPIEEE, COMP SOC, TECH COMM MATH FDN COMP	PALO ALTO, CAPALO ALTO, CA									0272-5428		0-8186-4370-6	WOS:A1993BZ64D00037		
S	BRASSARD, G; CREPEAU, C						Menezes, AJ; Vanstone, SA		QUANTUM BIT COMMITMENT AND COIN TOSSING PROTOCOLS								ADVANCES IN CRYPTOLOGY - CRYPTO 90		LECTURE NOTES IN COMPUTER SCIENCE		537				49	61					1991	1991						CRYPTO 90CRYPTO 90	AUG 11-15, 1990AUG 11-15, 1990	INT ASSOC CRYPTOL RES; IEEE, COMP SOC, TECH COMM SECUR & PRIVACY; UNIV CALIF SANTA BARBARA, DEPT COMP SCIINT ASSOC CRYPTOL RES; IEEE, COMP SOC, TECH COMM SECUR & PRIVACY; UNIV CALIF SANTA BARBARA, DEPT COMP SCI	UNIV CALIF SANTA BARBARA, SANTA BARBARA, CAUNIV CALIF SANTA BARBARA, SANTA BARBARA, CA									0302-9743		3-540-54508-5	WOS:A1991BX66S00004		
J	DIEKS, D					Dieks, Dennis/0000-0003-4755-3430			COMMUNICATION BY ELECTRON-PARAMAGNETIC-RES DEVICES								PHYSICS LETTERS A				92	6			271	272		10.1016/0375-9601(82)90084-6			1982	1982																		0375-9601			WOS:A1982PS52600004		
J	EKERT, AK				Ekert, Artur/P-1420-2014				QUANTUM CRYPTOGRAPHY BASED ON BELL THEOREM								PHYSICAL REVIEW LETTERS				67	6			661	663		10.1103/PhysRevLett.67.661			AUG 5 1991	1991																		0031-9007	1079-7114		WOS:A1991FZ34800001		
J	HUGHSTON, LP; JOZSA, R; WOOTTERS, WK				Hughston, Lane/N-8590-2013				A COMPLETE CLASSIFICATION OF QUANTUM ENSEMBLES HAVING A GIVEN DENSITY-MATRIX								PHYSICS LETTERS A				183	1			14	18		10.1016/0375-9601(93)90880-9			NOV 29 1993	1993																		0375-9601			WOS:A1993MK54800003		
J	JOZSA, R								FIDELITY FOR MIXED QUANTUM STATES								JOURNAL OF MODERN OPTICS				41	12			2315	2323		10.1080/09500349414552171			DEC 1994	1994																		0950-0340			WOS:A1994QD47300008		
J	Knill, E; Laflamme, R								Theory of quantum error-correcting codes								PHYSICAL REVIEW A				55	2			900	911		10.1103/PhysRevA.55.900			FEB 1997	1997																		1050-2947			WOS:A1997WH91900012		
J	Lo, HK; Chau, HF				Chau, Hoi Fung/D-3054-2009				Is quantum bit commitment really possible?								PHYSICAL REVIEW LETTERS				78	17			3410	3413		10.1103/PhysRevLett.78.3410			APR 28 1997	1997																		0031-9007			WOS:A1997WW39900046		
J	Mayers, D								Unconditionally secure quantum bit commitment is impossible								PHYSICAL REVIEW LETTERS				78	17			3414	3417		10.1103/PhysRevLett.78.3414			APR 28 1997	1997																		0031-9007			WOS:A1997WW39900047		
