PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Breiman, L				Breiman, L			Random forests	MACHINE LEARNING												Random forests are a combination of tree predictors such that each tree depends on the values of a random vector sampled independently and with the same distribution for all trees in the forest. The generalization error for forests converges a.s. to a limit as the number of trees in the forest becomes large. The generalization error of a forest of tree classifiers depends on the strength of the individual trees in the forest and the correlation between them. Using a random selection of features to split each node yields error rates that compare favorably to Adaboost (Y. Freund & R. Schapire, Machine Learning: Proceedings of the Thirteenth International conference, ***, 148-156), but are more robust with respect to noise. Internal estimates monitor error, strength, and correlation and these are used to show the response to increasing the number of features used in the splitting. Internal estimates are also used to measure variable importance. These ideas are also applicable to regression.																	0885-6125	1573-0565				OCT	2001	45	1					5	32		10.1023/A:1010933404324						WOS:000170489900001		
J	CORTES, C; VAPNIK, V				CORTES, C; VAPNIK, V			SUPPORT-VECTOR NETWORKS	MACHINE LEARNING												The support-vector network is a new learning machine for two-group classification problems. The machine conceptually implements the following idea: input vectors are non-linearly mapped to a very high-dimension feature space. In this feature space a linear decision surface is constructed. Special properties of the decision surface ensures high generalization ability of the learning machine. The idea behind the support-vector network was previously implemented for the restricted case where the training data can be separated without errors. We here extend this result to non-separable training data. High generalization ability of support-vector networks utilizing polynomial input transformations is demonstrated. We also compare the performance of the support-vector network to various classical learning algorithms that all took part in a benchmark study of Optical Character Recognition.																	0885-6125					SEP	1995	20	3					273	297		10.1023/A:1022627411411						WOS:A1995RX35400003		
J	Burges, CJC				Burges, CJC			A tutorial on Support Vector Machines for pattern recognition	DATA MINING AND KNOWLEDGE DISCOVERY												The tutorial starts with an overview of the concepts of VC dimension and structural risk minimization. We then describe linear Support Vector Machines (SVMs) for separable and non-separable data, working through a non-trivial example in detail. We describe a mechanical analogy, and discuss when SVM solutions are unique and when they are global. We describe how support vector training can be practically implemented, and discuss in detail the kernel mapping technique which is used to construct SVM solutions which are nonlinear in the data. We show how Support Vector machines can have very large (even infinite) VC dimension by computing the VC dimension for homogeneous polynomial and Gaussian radial basis function kernels. While very high VC dimension would normally bode ill for generalization performance, and while at present there exists no theory which shows that good generalization performance is guaranteed for SVMs, there are several arguments which support the observed high accuracy of SVMs, which we review. Results of some experiments which were inspired by these arguments are also presented. We give numerous examples and proofs of most of the key theorems. There is new material, and I hope that the reader will find that even old material is cast in a fresh light.																	1384-5810					JUN	1998	2	2					121	167		10.1023/A:1009715923555						WOS:000076132400002		
J	Haykin, S				Haykin, S			Cognitive radio: Brain-empowered wireless communications	IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS												Cognitive radio is viewed as a novel approach for improving the utilization of a precious natural resource: the radio electromagnetic spectrum. The cognitive radio, built on a software-defined radio, is defined as an intelligent wireless communication system that is aware of M environment and uses the methodology of understanding-by-building to learn from the environment and adapt to statistical variations in the input stimuli, with two primary objectives in mind: highly reliable communication whenever and wherever needed; efficient utilization of the radio spectrum. Following the discussion of interference temperature as a new metric for the quantification and management of interference, the paper addresses three fundamental cognitive tasks. 1) Radio-scene analysis. 2) Channel-state estimation and predictive modeling. 3) Transmit-power control and dynamic spectrum management. This paper also discusses the emergent behavior of cognitive radio.																	0733-8716	1558-0008				FEB	2005	23	2					201	220		10.1109/JSAC.2004.839380						WOS:000226943900002		
J	Fawcett, T				Fawcett, Tom			An introduction to ROC analysis	PATTERN RECOGNITION LETTERS												Receiver operating characteristics (ROC) graphs are useful for organizing classifiers and visualizing their performance. ROC graphs are commonly used in medical decision making, and in recent years have been used increasingly in machine learning and data mining research. Although ROC graphs are apparently simple, there are some common misconceptions and pitfalls when using them in practice. The purpose of this article is to serve as an introduction to ROC graphs and as a guide for using them in research. (c) 2005 Elsevier B.V. All rights reserved.				Exarchos, Konstantinos/B-5978-2008; Proenca Jr., Mario Lemes/B-8340-2016	Proenca Jr., Mario Lemes/0000-0002-0492-322X												0167-8655	1872-7344				JUN	2006	27	8					861	874		10.1016/j.patrec.2005.10.010						WOS:000237462800002		
J	Phillips, SJ; Anderson, RP; Schapire, RE				Phillips, SJ; Anderson, RP; Schapire, RE			Maximum entropy modeling of species geographic distributions	ECOLOGICAL MODELLING												The availability of detailed environmental data, together with inexpensive and powerful computers, has fueled a rapid increase in predictive modeling of species environmental requirements and geographic distributions. For some species, detailed presence/absence occurrence data are available, allowing the use of a variety of standard statistical techniques. However, absence data are not available for most species. In this paper, we introduce the use of the maximum entropy method (Maxent) for modeling species geographic distributions with presence-only data. Maxent is a general-purpose machine learning method with a simple and precise mathematical formulation, and it has a number of aspects that make it well-suited for species distribution modeling. In order to investigate the efficacy of the method, here we perform a continental-scale case study using two Neotropical mammals: a lowland species of sloth, Bradypus variegatus, and a small montane murid rodent, Microryzomys minutus. We compared Maxent predictions with those of a commonly used presence-only modeling method, the Genetic Algorithm for Rule-Set Prediction (GARP). We made predictions on 10 random subsets of the occurrence records for both species, and then used the remaining localities for testing. Both algorithms provided reasonable estimates of the species' range, far superior to the shaded outline maps available in field guides. All models were significantly better than random in both binomial tests of omission and receiver operating characteristic (ROC) analyses. The area under the ROC curve (AUC) was almost always higher for Maxent, indicating better discrimination of suitable versus unsuitable areas for the species. The Maxent modeling approach can be used in its present form for many applications with presence-only datasets, and merits further research and development. (c) 2005 Elsevier B.V. All rights reserved.																	0304-3800	1872-7026				JAN 25	2006	190	3-4					231	259		10.1016/j.ecolmodel.2005.03.026						WOS:000233859600001		
B	Rasmussen, CE; Williams, CKI				Rasmussen, CE; Williams, CKI			Gaussian Processes for Machine Learning	GAUSSIAN PROCESSES FOR MACHINE LEARNING	Adaptive Computation and Machine Learning																														978-0-262-18253-9				2005							1	247								WOS:000279925100014		
J	Elith, J; Graham, CH; Anderson, RP; Dudik, M; Ferrier, S; Guisan, A; Hijmans, RJ; Huettmann, F; Leathwick, JR; Lehmann, A; Li, J; Lohmann, LG; Loiselle, BA; Manion, G; Moritz, C; Nakamura, M; Nakazawa, Y; Overton, JM; Peterson, AT; Phillips, SJ; Richardson, K; Scachetti-Pereira, R; Schapire, RE; Soberon, J; Williams, S; Wisz, MS; Zimmermann, NE				Elith, J; Graham, CH; Anderson, RP; Dudik, M; Ferrier, S; Guisan, A; Hijmans, RJ; Huettmann, F; Leathwick, JR; Lehmann, A; Li, J; Lohmann, LG; Loiselle, BA; Manion, G; Moritz, C; Nakamura, M; Nakazawa, Y; Overton, JM; Peterson, AT; Phillips, SJ; Richardson, K; Scachetti-Pereira, R; Schapire, RE; Soberon, J; Williams, S; Wisz, MS; Zimmermann, NE			Novel methods improve prediction of species' distributions from occurrence data	ECOGRAPHY												Prediction of species' distributions is central to diverse applications in ecology, evolution and conservation science. There is increasing electronic access to vast sets of occurrence records in museums and herbaria, yet little effective guidance on how best to use this information in the context of numerous approaches for modelling distributions. To meet this need, we compared 16 modelling methods over 226 species from 6 regions of the world, creating the most comprehensive set of model comparisons to date. We used presence-only data to fit models, and independent presence-absence data to evaluate the predictions. Along with well-established modelling methods such as generalised additive models and GARP and BIOCLIM, we explored methods that either have been developed recently or have rarely been applied to modelling species' distributions. These include machine-learning methods and community models, both of which have features that may make them particularly well suited to noisy or sparse information, as is typical of species' occurrence data. Presence-only data were effective for modelling species' distributions for many species and regions. The novel methods consistently outperformed more established methods. The results of our analysis are promising for the use of data from museums and herbaria, especially as methods suited to the noise inherent in such data improve.				Soberon, Jorge/N-7444-2015; Williams, Stephen/A-7250-2008; Graham, Catherine/A-9560-2011; Lehmann, Anthony/B-1544-2010; Moritz, Craig/A-7755-2012; Lohmann, Lucia/C-9492-2013; Peterson, A. Townsend/I-5697-2013; Wisz, Mary/J-7826-2013; Ferrier, Simon/C-1490-2009; Guisan, Antoine/A-1057-2011; Zimmermann, Niklaus/A-4276-2008; Elith, Jane/F-2022-2015; Hijmans, Robert/N-3299-2016; Loiselle, Bette/O-7106-2016; IB/USP, Botanica/Q-7627-2016	Soberon, Jorge/0000-0003-2160-4148; Williams, Stephen/0000-0002-2510-7408; Lohmann, Lucia/0000-0003-4960-0587; Peterson, A. Townsend/0000-0003-0243-2379; Ferrier, Simon/0000-0001-7884-2388; Guisan, Antoine/0000-0002-3998-4815; Zimmermann, Niklaus/0000-0003-3099-9604; Elith, Jane/0000-0002-8706-0326; Loiselle, Bette/0000-0003-1434-4173; Lehmann, Anthony/0000-0002-8279-8567; Wisz, Mary/0000-0002-5357-6367; Hijmans, Robert/0000-0001-5872-2872												0906-7590					APR	2006	29	2					129	151		10.1111/j.2006.0906-7590.04596.x						WOS:000236767000001		
J	Lecun, Y; Bottou, L; Bengio, Y; Haffner, P				Lecun, Y; Bottou, L; Bengio, Y; Haffner, P			Gradient-based learning applied to document recognition	PROCEEDINGS OF THE IEEE												Multilayer neural networks trained with the back-propagation algorithm constitute the best example of a successful gradient-based learning technique. Given an appropriate network architecture, gradient-based learning algorithms can be used to synthesize a complex decision surface that can classify high-dimensional patterns, arch as handwritten characters, with minimal preprocessing. This paper reviews various methods applied to handwritten character recognition and compares them on a standard handwritten digit recognition task. Convolutional neural networks, which are specifically designed to deal with the variability of two dimensional (2-D) shapes, are shown to outperform all other techniques. Real-life document recognition systems are composed of multiple modules including field extraction, segmentation recognition and language modeling. A new learning paradigm, called graph transformer networks (GTN's), allows such multimodule systems to be trained globally using gradient-based methods so; as to minimize an overall performance measure. Two systems for online handwriting recognition are described. Experiments demonstrate the advantage of global training, and the flexibility of graph transformer networks. A graph transformer network for reading a bank check is also described It uses convolutional neural network character recognizers combined with global training techniques to provide record accuracy on business and personal checks. It is deployed commercially and reads several million checks per day.																	0018-9219	1558-2256				NOV	1998	86	11					2278	2324		10.1109/5.726791						WOS:000076557300010		
J	Demsar, J				Demsar, J			Statistical comparisons of classifiers over multiple data sets	JOURNAL OF MACHINE LEARNING RESEARCH												While methods for comparing two learning algorithms on a single data set have been scrutinized for quite some time already, the issue of statistical tests for comparisons of more algorithms on multiple data sets, which is even more essential to typical machine learning studies, has been all but ignored. This article reviews the current practice and then theoretically and empirically examines several suitable tests. Based on that, we recommend a set of simple, yet safe and robust non-parametric tests for statistical comparisons of classifiers: the Wilcoxon signed ranks test for comparison of two classifiers and the Friedman test with the corresponding post-hoc tests for comparison of more classifiers over multiple data sets. Results of the latter can also be neatly presented with the newly introduced CD ( critical difference) diagrams.																	1532-4435					JAN	2006	7						1	30								WOS:000236331400001		
J	DePristo, MA; Banks, E; Poplin, R; Garimella, KV; Maguire, JR; Hartl, C; Philippakis, AA; del Angel, G; Rivas, MA; Hanna, M; McKenna, A; Fennell, TJ; Kernytsky, AM; Sivachenko, AY; Cibulskis, K; Gabriel, SB; Altshuler, D; Daly, MJ				DePristo, Mark A.; Banks, Eric; Poplin, Ryan; Garimella, Kiran V.; Maguire, Jared R.; Hartl, Christopher; Philippakis, Anthony A.; del Angel, Guillermo; Rivas, Manuel A.; Hanna, Matt; McKenna, Aaron; Fennell, Tim J.; Kernytsky, Andrew M.; Sivachenko, Andrey Y.; Cibulskis, Kristian; Gabriel, Stacey B.; Altshuler, David; Daly, Mark J.			A framework for variation discovery and genotyping using next-generation DNA sequencing data	NATURE GENETICS												Recent advances in sequencing technology make it possible to comprehensively catalog genetic variation in population samples, creating a foundation for understanding human disease, ancestry and evolution. The amounts of raw data produced are prodigious, and many computational steps are required to translate this output into high-quality variant calls. We present a unified analytic framework to discover and genotype variation among multiple samples simultaneously that achieves sensitive and specific results across five sequencing technologies and three distinct, canonical experimental designs. Our process includes (i) initial read mapping; (ii) local realignment around indels; (iii) base quality score recalibration; (iv) SNP discovery and genotyping to find all potential variants; and (v) machine learning to separate true segregating variation from machine artifacts common to next-generation sequencing technologies. We here discuss the application of these tools, instantiated in the Genome Analysis Toolkit, to deep whole-genome, whole-exome capture and multi-sample low-pass (similar to 4x) 1000 Genomes Project datasets.				Sincan, Murat /A-3794-2010; Altshuler, David/A-4476-2009	Altshuler, David/0000-0002-7250-4107												1061-4036	1546-1718				MAY	2011	43	5					491	+		10.1038/ng.806						WOS:000289972600023	21478889	
